"dt","aircraft_type_id","qty","qty2"
"2025-10-09 00:00:00",3,5,"455"
"2025-10-09 00:00:00",342,2,"996"
"2025-10-09 00:00:00",402,1,"40"
"2025-10-16 00:00:00",2,15,"408"
"2025-10-16 00:00:00",402,4,"418"
"2025-10-16 00:00:00",3,10,"295"
"2025-10-16 00:00:00",342,8,"1329"
"2025-12-04 00:00:00",2,14,"229"
"2025-12-04 00:00:00",3,8,"1225"
"2025-12-04 00:00:00",342,8,"692"
"2025-09-25 00:00:00",422,1,"10"
"2025-12-04 00:00:00",402,40,"335"
"2025-10-02 00:00:00",362,3,"85"
"2025-12-11 00:00:00",362,1,"30"
"2025-10-09 00:00:00",362,1,"25"
"2025-10-23 00:00:00",2,28,"988"
"2025-12-11 00:00:00",2,4,"101"
"2025-10-23 00:00:00",3,11,"2066"
"2025-10-23 00:00:00",342,6,"1510"
"2025-12-11 00:00:00",3,3,"835"
"2025-10-23 00:00:00",362,5,"80"
"2025-10-23 00:00:00",402,9,"399"
"2025-12-11 00:00:00",342,5,"684"
"2025-10-23 00:00:00",422,3,"30"
"2025-10-30 00:00:00",342,4,"1124"
"2025-11-13 00:00:00",3,2,"415"
"2025-12-18 00:00:00",3,3,"715"
"2025-11-13 00:00:00",342,3,"1492"
"2025-11-13 00:00:00",2,13,"409"
"2025-12-18 00:00:00",342,5,"392"
"2025-11-13 00:00:00",402,4,"145"
"2025-11-20 00:00:00",2,25,"926"
"2025-12-18 00:00:00",422,1,"50"
"2025-11-20 00:00:00",3,4,"1180"
"2025-11-20 00:00:00",342,6,"912"
"2025-11-13 00:00:00",422,4,"120"
"2025-12-18 00:00:00",2,15,"475"
"2025-12-18 00:00:00",402,5,"189"
"2025-11-13 00:00:00",362,2,"235"
"2025-12-25 00:00:00",3,1,"195"
"2025-11-20 00:00:00",362,5,"470"
"2025-11-20 00:00:00",422,3,"75"
"2025-12-25 00:00:00",342,2,"481"
"2025-11-27 00:00:00",2,1,"6"
"2025-11-27 00:00:00",3,7,"1370"
"2025-11-27 00:00:00",342,5,"1369"
"2025-12-25 00:00:00",2,12,"335"
"2025-12-25 00:00:00",402,14,"693"
"2025-11-27 00:00:00",362,2,"320"
"2025-11-27 00:00:00",402,5,"234"
"2026-01-01 00:00:00",422,2,"60"
"2026-01-01 00:00:00",2,7,"320"
"2026-01-01 00:00:00",402,11,"419"
"2026-01-01 00:00:00",3,7,"1585"
"2026-01-01 00:00:00",342,8,"1164"
"2026-01-08 00:00:00",422,4,"155"
"2026-01-08 00:00:00",402,4,"237"
"2026-01-08 00:00:00",2,28,"980"
"2026-01-08 00:00:00",3,4,"1250"
"2026-01-08 00:00:00",342,1,"126"
"2026-01-15 00:00:00",2,6,"171"
"2026-01-15 00:00:00",3,8,"1850"
"2026-01-15 00:00:00",342,7,"1627"
"2026-01-15 00:00:00",422,5,"165"
"2022-01-13 00:00:00",2,5,"196"
"2022-01-20 00:00:00",2,9,"322"
"2022-01-27 00:00:00",2,4,"99"
"2022-02-03 00:00:00",2,18,"569"
"2022-02-10 00:00:00",2,9,"349"
"2022-02-17 00:00:00",2,7,"247"
"2022-02-24 00:00:00",2,7,"253"
"2022-03-03 00:00:00",2,13,"558"
"2022-03-10 00:00:00",2,23,"736"
"2022-03-24 00:00:00",2,4,"76"
"2022-03-31 00:00:00",2,8,"245"
"2022-04-14 00:00:00",2,7,"452"
"2022-04-21 00:00:00",2,8,"243"
"2022-04-28 00:00:00",2,30,"919"
"2022-05-05 00:00:00",2,40,"1413"
"2022-05-12 00:00:00",2,7,"290"
"2022-05-19 00:00:00",2,11,"356"
"2022-05-26 00:00:00",2,13,"424"
"2022-06-02 00:00:00",2,32,"1001"
"2022-06-09 00:00:00",2,17,"500"
"2022-06-16 00:00:00",2,23,"753"
"2022-06-23 00:00:00",2,34,"924"
"2022-06-30 00:00:00",2,52,"1867"
"2022-07-07 00:00:00",2,31,"1053"
"2022-07-14 00:00:00",2,52,"1837"
"2022-07-21 00:00:00",2,79,"2607"
"2022-07-28 00:00:00",2,39,"1582"
"2022-08-04 00:00:00",2,75,"2363"
"2022-08-11 00:00:00",2,40,"1329"
"2022-08-18 00:00:00",2,39,"1284"
"2022-08-25 00:00:00",2,72,"2289"
"2022-08-25 00:00:00",3,1,"270"
"2022-09-01 00:00:00",2,28,"1010"
"2022-09-01 00:00:00",3,6,"609"
"2022-09-08 00:00:00",2,30,"867"
"2022-09-08 00:00:00",3,5,"1459"
"2022-09-15 00:00:00",2,14,"403"
"2022-09-15 00:00:00",3,3,"670"
"2022-09-22 00:00:00",2,45,"2051"
"2022-09-22 00:00:00",3,6,"1109"
"2022-09-29 00:00:00",2,12,"733"
"2022-09-29 00:00:00",3,6,"1802"
"2022-10-06 00:00:00",3,5,"1190"
"2022-10-06 00:00:00",2,21,"696"
"2022-10-13 00:00:00",2,14,"610"
"2022-10-13 00:00:00",3,5,"1247"
"2022-10-20 00:00:00",2,24,"738"
"2022-10-20 00:00:00",3,3,"929"
"2022-10-27 00:00:00",2,24,"850"
"2022-10-27 00:00:00",3,5,"1377"
"2022-10-27 00:00:00",1,3,"245"
"2022-11-03 00:00:00",3,4,"983"
"2022-11-03 00:00:00",1,2,"70"
"2022-11-03 00:00:00",2,8,"376"
"2022-11-10 00:00:00",3,5,"1040"
"2022-11-10 00:00:00",1,3,"120"
"2022-11-10 00:00:00",2,9,"390"
"2022-11-17 00:00:00",2,7,"193"
"2022-11-17 00:00:00",3,2,"365"
"2022-11-24 00:00:00",3,8,"1894"
"2022-11-24 00:00:00",2,18,"674"
"2022-12-01 00:00:00",2,8,"365"
"2022-12-01 00:00:00",3,6,"855"
"2022-12-08 00:00:00",3,6,"1260"
"2022-12-08 00:00:00",2,13,"587"
"2022-12-15 00:00:00",3,3,"580"
"2022-12-22 00:00:00",1,6,"245"
"2022-12-22 00:00:00",2,12,"458"
"2022-12-22 00:00:00",3,6,"935"
"2022-12-29 00:00:00",1,5,"147"
"2022-12-29 00:00:00",3,5,"890"
"2022-12-29 00:00:00",2,7,"201"
"2023-01-05 00:00:00",3,4,"-269"
"2023-01-05 00:00:00",1,3,"177"
"2023-01-05 00:00:00",2,5,"611"
"2023-01-12 00:00:00",1,2,"407"
"2023-01-12 00:00:00",3,2,"643"
"2023-01-26 00:00:00",3,1,"302"
"2023-01-26 00:00:00",2,1,"455"
"2023-01-26 00:00:00",1,1,"-186"
"2023-02-02 00:00:00",1,5,"692"
"2023-02-02 00:00:00",2,2,"380"
"2023-02-09 00:00:00",2,2,"526"
"2023-02-23 00:00:00",1,4,"1490"
"2023-02-23 00:00:00",2,3,"103"
"2023-03-02 00:00:00",1,1,"127"
"2023-03-02 00:00:00",2,2,"842"
"2023-03-09 00:00:00",2,7,"794"
"2023-03-09 00:00:00",1,1,"37"
"2023-03-16 00:00:00",1,4,"1260"
"2023-03-16 00:00:00",2,1,"178"
"2023-03-16 00:00:00",3,2,"390"
"2023-03-23 00:00:00",3,3,"779"
"2023-03-30 00:00:00",3,3,"1420"
"2023-03-30 00:00:00",2,4,"390"
"2023-04-06 00:00:00",2,7,"895"
"2023-04-06 00:00:00",1,3,"744"
"2023-04-06 00:00:00",3,4,"1270"
